caseId,currentMessage,context,historicalResponse,goldIntent
golden-001,@AmazonHelp I says ordered with the line close to the shipped mark :( everything else ordered with it has already shipped,CUSTOMER: @115821 got me hella anxious cause I paid for Saturday shipping and my item hasn't shipped yet but everything else with it already has 😬 | SUPPORT: @153810 We're anxious for you! Can we help? Could you tell us what the most recent tracking shows for your order? You can view it here: https://t.co/Y5jpI9gRhE ^TK,"@153810 It's not uncommon for an item to ship the same day as the delivery date. If you don't receive your item by 8:00PM on Saturday, please let us know! ^AC",Delivery & Tracking
golden-002,@AmazonHelp Can I arrange a phone call with someone who has English as their first language?,"CUSTOMER: Getting seriously pissed off with @115821 customer service! Why do I pay for prime? | SUPPORT: @147312 Could you provide us with a few details about the issue without posting account information? What options were provided to you when you contacted us? ^WM | CUSTOMER: @AmazonHelp I've been sent round in circles by poor phone customer services to then say nothing they can do! Apparently your offer end dates mean nothing! Regretting using you for recent purchases right now | CUSTOMER: @AmazonHelp And the bad service continues I see! I want a call from somebody tomorrow!!! | SUPPORT: @147312 I'm sorry to hear about your experience, Chris! This certainly isn't what we want for our customers and we're here to help. I'd like to have someone look into this with you. Please provide us with your details here: https://t.co/Udv3NT0dgh ^NS | CUSTOMER: @AmazonHelp Still had no reply!!! If nothing heard soon am taking all business elsewhere and cancelling prime! | SUPPORT: @147312 I apologise for the delay, Chris. We're still investigating the issue and will get back to you as soon as possible.^PJ | CUSTOMER: @AmazonHelp I look forward to hearing what can be done as the longer this takes the less chance I use this service again | SUPPORT: @147312 Hey Chris, we've received your details. Somebody will be in touch shortly. ^TP | CUSTOMER: @AmazonHelp Will I get a reply to my feedback comment? | SUPPORT: @147312 Hi Chris. What feedback are you referring to? ^DC | CUSTOMER: @AmazonHelp One from a complaint I made, I had a reply that I wasn't happy with, will I get a response to this one? | SUPPORT: @147312 The specialist will research your account/orders and will be in touch with you shortly. ^KN | CUSTOMER: @AmazonHelp This is a joke!!! Still not heard anything! NEVER had customer service as bad as this! #sortitout | SUPPORT: @147312 I understand how frustrating this can be. I was able to find that we have sent you a reply back through e-mail. You may want to check your spam/junk folder. ^AL | CUSTOMER: @AmazonHelp Do you mean Thursday night? If not hen haven't heard anything","@147312 That is correct, Chris! Our specialist sent an e-mail with the subject line ""Your https://t.co/ykTUEmdsQA Enquiry"" on Thursday, 23 November 2017 at 15:45 GMT. I hope this information is helpful! ^SD",OTHER / UNCLEAR
golden-003,@115821 Thanks for your amazing shipping times @115821 but I put some thought into this! 😂I'll have to see if Papa Kira (Papa Grinsha) can get it.,CUSTOMER: Ordered a skirt from @115821 for cosplay. Chose 5-day shipping cuz I'd be gone &amp; w/ 2-day it'd arrive after I took off. 🛫#FirstWorldProblem https://t.co/pwVhUl6imY,@125124 We'd like to help. Who's the carrier: https://t.co/Y5jpI9gRhE? Have you called them for options: https://t.co/XElP6cXQrb? ^CO,Delivery & Tracking
golden-004,@AmazonHelp It is far too long winded to discuss on Twitter. I have got nowhere with live chat. Am fed up with the way I’ve been treated by your customer services tonight 😩😤 What do I do now?,"CUSTOMER: @115830 Can someone please DM me about your shocking customer service and crap Black Friday ordering.  You’re on a par with @252 right now, and the whole world knows how shit they are! 🤬😠😤 | SUPPORT: @155855 We'd like to help! Please use the link below to DM with us. As a reminder we don't have access to your Amazon account; please refrain from providing personal or account details.  ^AG https://t.co/1XyLaGkcaN | CUSTOMER: @AmazonHelp Are you able to trace online chats or do I need to screenshot what is happening ? I am beyond fed up with the *help* I’ve got tonight! 😤 | SUPPORT: @155855 For security, we are unable to view customer account details on Twitter. However, our chats are recorded. Please let us know what's going on. ^BH","@155855 Understood. Without posting account or order details, can you please tell us about the initial issue you were trying to get resolved when you contacted us? https://t.co/1XyLaGkcaN",OTHER / UNCLEAR
golden-005,@AmazonHelp Awaiting  response from your side. Already provided my details. This is frustrating.,"CUSTOMER: @AmazonHelp have ordered one plus 3t from Amazon sale on no cost emi. Now bank is charging amount with interest. What is the benefit of it? | SUPPORT: @191805 I'm sorry for the trouble, did you contact our customer service team here: https://t.co/vlvfJr4nN9? ^SI | CUSTOMER: @AmazonHelp Yes. But they are clearly saying that i did not choose the option of no cost emi. I was shown the total amount which was payable | SUPPORT: @191805 Kindly drop in your details here: https://t.co/beaaDm0muc and we'll have this checked. ^GK","@191805 I understand your concern. If the details were shared, you must've received a correspondence from us. Please check. ^HD",OTHER / UNCLEAR
golden-006,"@120533 Bonjour, le Pc Shinobee a 499.99€ pack complet est bien livrer avec l ecran Asus 24"" ainsi que le clavier et la souris + la tour?",,"@164975 Bonsoir, effectivement comme indiqué sur les détails de l'article.^ ko https://t.co/JNiqHrn3rR",Product & Digital Services
golden-007,"@116090 it’s been weeks I’m not able to see my previous orders in the iOS app (only on the web), any ideas? https://t.co/0jD1Eop6MU",,@172138 We're here to help! Have you had a chance to uninstall and re-install the application? Let us know if that works! ^JE,Product & Digital Services
golden-008,@AmazonHelp Replacement order is 408-8661335-1817148. I call you on 5oct. Your team saying will refund your amount within 24 to 48 hrs.,"CUSTOMER: @115850 i perched a headphone.I cancelled this item.Bt till now amazon did not return my money.I call him lots of time.bt didnt solve pblm | SUPPORT: @192164 Apologies, Abhishek. Request you to wait for 3-5 business days to receive the refund from the date of cancellation. ^SK | CUSTOMER: @AmazonHelp How much i waited tell me.i already waited 4-5 days. Your pik up date is 3oct. Bt u did not pik till now.i called lots of time. | CUSTOMER: @AmazonHelp Bt your team did not pik.So i don't know anything.I want my refund immediately. Because that is not my fault. So by i face that knid of pblm | SUPPORT: @192164 I'm sorry for the hassle, Abhishek. Please drop in your details here: https://t.co/GIJyeYqKE0. We will look into it. ^SB","@192164 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. ^KA",Returns & Refunds
golden-009,Hola @AmazonHelp. Podéis confirmarme la retransmisión en España del partido de la NFL del jueves noche?,,"@164795 En este momento no se encuentra disponible la retransmisión del partido, sin embargo puedes ver un resumen del mismo. ^VL",Product & Digital Services
golden-010,"@AmazonHelp eu não quero reembolso, eu só quero que o meu livro chegue. sério que vcs não podem fazer NADA sobre isso??","CUSTOMER: CADÊ MEU LIVRO @117086 | SUPPORT: @183646 Olá Richie! Poderia fornecer mais detalhes para conseguir lhe ajudar? Você está aguardando a entrega de algum pedido? ^HC | CUSTOMER: @AmazonHelp posso mandar uma dm pra vcs com o número do pedido??? | SUPPORT: @183646 da sua conta. Me diga, qual é a data estimada de entrega do seu pedido? (2/2) ^HC | CUSTOMER: @AmazonHelp era pra hoje, mas não chegou nada!!!! eu tendo rastrear a remessa mas não aparece horários, datas nem nada | SUPPORT: @183646 Sinto muito saber do problema. O seu pedido foi vendido pela Amazon ou vendido por um vendedor externo? ^JJ | CUSTOMER: @AmazonHelp vendedor externo. o que eu devo fazer? | SUPPORT: @183646 Nesse caso, recomendo entrar em contato diretamente com o vendedor: https://t.co/OeEPiH0F6X ^CR | CUSTOMER: @AmazonHelp queria vir através deste reclamar e demonstrar meu profundo desapontamento. o vendedor não me responde e durante esse mês, o feedback + | CUSTOMER: @AmazonHelp dele caiu muito, não tenho informações da transportadora e nem um sinal de vida dele | SUPPORT: @183646 (2/2) enviar uma solicitação da Garantia de A a Z. Mais detalhes aqui: https://t.co/c34dGYAEoW. ^LG | SUPPORT: @183646 Oi Richie, sinto muito pelo acontecido. Nesses caso, quando você não recebe resposta do vendedor depois do prazo, pode (1/2)",@183646 Por gentileza entre em contato com o nosso Serviço de Atendimento no seguinte link: https://t.co/ouAOLcNWp4 ^JJ,Delivery & Tracking
